ID,Name,Category,Type,Rating,Download Link,Download Size,Download OS
"2501","EFQ","EQ","Focusrite 110 EQ emulation","3","https://plugins4free.com/get_plug/EFQ-suite.zip","7.5","Windows x86"
"2590","Bassprofessor MarkII","Guitar/Amp","Bass guitar enhancer","4.655","https://plugins4free.com/get_plug/BassProfessorMarkII_x64.zip","null","Windows x64"
"2481","Bosphy Bass","Misc.","Bass pack","3.3","https://plugins4free.com/get_plug/Bosphy-Bass_x64.zip","32.2","Windows x64"
"2556","VSCO2 Trombone","Brass/Wind","Trombone","4.25","https://plugins4free.com/get_plug/VSCO2_Trombone_V2_-_64.zip","71.8","Windows x64"
"2500","CM-EQ","Dynamics","Vintage compressor / EQ ","null","https://plugins4free.com/get_plug/Samsara_CM-EQ_FR.zip","3.3","Windows x86"
"2595","dSHIFT","Pitch","Feedback pitchshifter ","4.222","https://plugins4free.com/get_plug/wL_dSHIFT(ST).zip","6.9","Windows x86"
"2581","MIDI Choir","Pitch","MIDI controlled transposer","3.75","https://plugins4free.com/get_plug/MIDI-Choir_(64).zip","6.6","Windows x64"
"2489","SamsaraSitar","Folk/Ethnic","Sitar","4.167","https://plugins4free.com/get_plug/SamsaraSitar_FR.zip","6.4","Windows x86"
"2596","falseFI","Spatial","Mono to stereo","null","https://plugins4free.com/get_plug/false-FI.zip","5.5","Windows x86"
"2528","Instalooper","Loop/Scratch","Looper","3.818","https://plugins4free.com/get_plug/INSTA_LOOPER_linux.zip","3.5","Linux"
"2583","La Voz Cantante","Pitch","Vocoder","3.667","https://plugins4free.com/get_plug/LaVozCantante(64).zip","8.2","Windows x64"
"2533","XT-2050","Guitar/Amp","Guitar amp","3.25","https://plugins4free.com/get_plug/XT-2050.zip","null","Windows x86"
"2579","Spaceship Delay","Delay/Echo","Multi-mode delay","4.714","https://plugins4free.com/get_plug/Spaceship-Delay_x64.zip","6.9","Windows x64"
"2586","Fuzzed","Distortion/OD","Vintage analog distortion","3.25","https://plugins4free.com/get_plug/fuzzed.zip","3.8","Windows x86"
"2587","null","Hybrid/Other","Dual-osc super saw / PCM","4.958","https://plugins4free.com/get_plug/xhip_Linux.zip","1.1","Linux"
"2475","HY-Phaser","Modulation","Phaser","null","https://plugins4free.com/get_plug/HY-Phaser_64bit.zip","3.8","Windows x64"
"2509","VeeSatEQ","Tube/Tape","Multi band tube saturator / de-mudder","4.5","https://plugins4free.com/get_plug/VeeSatEQ.zip","1.7","Windows x86"
"2588","Abakos PRO","Seq/Arp","2 osc analog synth","3.429","https://plugins4free.com/get_plug/Abakos-pro.zip","1.7","Windows x86"
"2600","bolsterisers","Dynamics","Retro compressors ","4.667","https://plugins4free.com/get_plug/bolsterisers.zip","62.5","Windows x86"
"2601","VeeComps","Dynamics","Compressor bundle","3.667","https://plugins4free.com/get_plug/VeeCompsBundle.zip","10.6","Windows x86"
"2603","VeeDeeS","Gate/Deesser","De-esser","3.857","https://plugins4free.com/get_plug/VeeDeeS.zip","2.5","Windows x86"
"2602","VeeBoostComp","Guitar/Amp","Guitar compressor / treble booster","null","https://plugins4free.com/get_plug/VeeBoostComp.zip","2.6","Windows x86"
"2607","KR5","Drum_machines","5 parts drum machine","4.4","https://plugins4free.com/get_plug/kr5.zip","3.9","Windows x86"
"2604","ToneDeluxe","Guitar/Amp","Analog tube amplifier","3.222","https://plugins4free.com/get_plug/ToneDeluxe_x64.zip","22","Windows x64"
"2609","Brigade Delay","Delay/Echo","BBD delay line","4.462","https://plugins4free.com/get_plug/fbdelay64.zip","null","Windows x64"
"2612","Arkon VRS-1","Hybrid/Other","2 osc digital / analog synth","3","https://plugins4free.com/get_plug/EVM-Arkon.zip","null","Windows x86"
"2613","Boogaloo","Analog","2 analog synth","2.5","https://plugins4free.com/get_plug/EVM-Boogaloo.zip","3.1","Windows x86"
"2616","Incubus","Hybrid/Other","6 osc multiwave synth","4.25","https://plugins4free.com/get_plug/EVM-Incubus.zip","0.8","Windows x86"
"2610","DvX Vega","Seq/Arp","Arpeggiator synth","4.4","https://plugins4free.com/get_plug/EVM-DvX-Vega.zip","1.5","Windows x86"
"2619","Maelstrom","Analog","2 osc analog synth","null","https://plugins4free.com/get_plug/EVM-Maelstrom.zip","0.7","Windows x86"
"2608","Atmos","Ambient","Ambient piano","4.154","https://plugins4free.com/get_plug/ATMOS-win64.zip","192.4","Windows x64"
"2617","Isis","Wavetable","Multiwave synth","4.167","https://plugins4free.com/get_plug/EVM-isis.zip","0.8","Windows x86"
"2618","Isotope","Hybrid/Other","Multiwave groove synth","2.2","https://plugins4free.com/get_plug/EVM-Isotope.zip","1.1","Windows x86"
"2624","Omnicron","Hybrid/Other","Pad synth module","4.833","https://plugins4free.com/get_plug/EVM-Omnicron.zip","3","Windows x86"
"2615","Gnome","Seq/Arp","2 wave osc arpeggiator synth","null","https://plugins4free.com/get_plug/EVM-Gnome.zip","1.3","Windows x86"
"2611","Bassline II","Guitar/Bass","WaveSample Bass","3.375","https://plugins4free.com/get_plug/EVM-Bassline-v2.zip","0.8","Windows x86"
"2605","SynthTrack","Filtering","LFO / arp filter","4.4","https://plugins4free.com/get_plug/SynthTrack_64.zip","2.5","Windows x64"
"2621","Moebius","Seq/Arp","2 osc arpeggiator synth","4.5","https://plugins4free.com/get_plug/EVM-Moebius.zip","1.1","Windows x86"
"2620","mnemonic","Hybrid/Other","Hybrid additive osc synth","4.25","https://plugins4free.com/get_plug/EVM-mnemonic.zip","1.4","Windows x86"
"2622","Neutron","Hybrid/Other","Bass synth","4","https://plugins4free.com/get_plug/EVM-Neutron.zip","0.6","Windows x86"
