Title,Artist,Year,Genre,BPM,Energy,Dance,Valence,Popularity,WIP,,Tags,Spotify ID
Wellerman (Sea Shanty),Nathan Evans,2021,Folk,192,36,68,79,70,WIP,,sea shanties;,54OBgO0Xwu20Jak9TMXbR7
What A Wonderful World,Louis Armstrong,1967,Pop,77,17,27,20,76,,,jazz;swing music;big band;vocal jazz;jazz blues;slow;acoustic;oldies;retro;love;waltz,29U7stRjqHU6rMiS8BfaI9
What's Up,4 Non Blondes,1993,Rock,134,56,57,45,81,,,;slow;groovy;alternative,0jWgAnTrNZmOGmqgvHhZEm
When You Say Nothing At All,Ronan Keating,1999,Pop,174,45,46,42,73,,,;groovy;dance;love;acoustic,0gcjc7Vt5xtcfmJgf6g2IO
When You Were Young,Killers,2006,Rock,130,99,47,32,77,,,alternative rock;alternative;acoustic;love,70wYA8oYHoMzhRRkARoMhU
Whenever Wherever,Shakira,2001,Pop,108,83,79,87,77,WIP,,latin pop;groovy;dance;fast;love,2lnzGkdtDj5mtlcOW2yRtG
White Flag,Dido,2003,Pop,170,54,51,28,62,,,;slow;love;acoustic,3adnLFXKO5rC1lhUNSeg3N
Wicked Game,Chris Isaak,1988,Rock,112,30,66,36,82,,,;slow;oldies;retro;love;acoustic,7w5AOd6HrDIHewHfpABEss
Wild World,Cat Stevens,1970,Rock,152,51,48,55,0,,,folk rock;folk;singer-songwriter;slow;oldies;retro;love;acoustic,4amVKQVSct5Nn5WLMNsKEV
Wisemen,James Blunt,2004,Pop,152,70,63,63,54,WIP,,;alternative;acoustic;groovy,3fl78noR9kt12JYKuTAP4a
Wish You Were Here,Pink Floyd,1975,Rock,123,26,48,38,81,,,progressive rock;psychedelic rock;classic rock;art rock;rock;slow;acoustic;alternative;love;oldies;retro,6mFkJmJqdDVQ1REhVfGgd1
With Or Without You,U2,1987,Rock,110,54,55,12,58,,,rock;slow;acoustic;love,6QPhpvO1pWDS91EsEmzsbc
Wonderful Tonight,Eric Clapton,1977,Rock,96,21,57,49,75,,,blues;blues rock;classic rock;slow;acoustic;love;retro;oldies,6zC0mpGYwbNTpk9SKwh08f
Wonderwall,Oasis,1995,Pop,175,85,41,46,74,,,britpop;madchester;alternative;acoustic;groovy,1qPbGZqppFwLwcBC1JQ6Vr
Yellow,Coldplay,2000,Rock,173,66,43,29,91,,,;slow;dance;alternative;love,3AJwUDP919kvQ9QcozQPxg
Yesterday,Beatles,1965,Pop,97,18,33,32,75,,,classic rock;psychedelic rock;oldies;retro;acoustic,3BQHpFgAp4l80e1XslIjNI
You And Me,Lifehouse,2005,Rock,140,43,46,35,75,,,post-grunge;slow;love;acoustic;alternative;groovy;waltz,0815caqt2Lytro5EIzMufT
You Belong To Me,Bryan Adams,2015,Rock,100,91,55,46,28,,,;fast;dance;groovy;love,5Y9bUw2zFRTwufHt6S49FG
Your Song,Elton John,1970,Pop,128,32,55,32,78,,,;slow;love;oldies;retro,38zsOOcu31XbbYj9BIPUF1
You're Beautiful,James Blunt,2005,Rock,82,48,68,45,75,,,;love;slow;alternative,0vg4WnUWvze6pBOJDTq99k
You're Still The One,Shania Twain,1997,Country,134,49,59,63,70,,,country;dance;love;slow,1wb4P4F0sxAQ2KXrRvsx6n
You've Got To Hide Your Love Away,Beatles,1965,Pop,184,39,40,38,64,,,classic rock;psychedelic rock;oldies;retro;love;groovy;dance;waltz,4F1AgKpuFRMLEgtPETVwZk
Zombie,Cranberries,1994,Rock,167,65,31,31,74,,,;slow;groovy;alternative,7EZC6E7UjZe63f1jRmkWxt
